title,location,Status,size,price,pricepersqfeet
4 BHK Villa in Radhey RADHEY RAAGA,"Patighanpur, Hyderabad",Under Construction,6500 , 6.37 0000000 ,"9,800 / sq ft"
3 BHK Apartment in Namishree BPS Twin Towers,"Saidabad, Hyderabad",Under Construction,1800 , 1.04 0000000 ,"5,800 / sq ft"
3 BHK Villa in Nest Bliss In The Woods,"Harshaguda, Hyderabad",Under Construction,4000 , 3.31 0000000 ,"8,275 / sq ft"
3 BHK Apartment in Candeur Crescent,"Serilingampally, Hyderabad",Under Construction,2548 , 1.99 0000000 ,"7,810 / sq ft"
3 BHK Apartment in GHR Callisto,"Kollur, Hyderabad",Under Construction,1775 , 88.73 00000 ,"4,999 / sq ft"
2 BHK Apartment in Sunshine Vihaan,"Gandipet, Hyderabad",Under Construction,1228 , 77.33 00000 ,"6,302 / sq ft"
3 BHK Apartment in Vazhraa Vazhraa Prathik,"Nizampet, Hyderabad",Under Construction,1835 , 1.19 0000000 ,"6,500 / sq ft"
3 BHK Apartment in Hivision Heights,"Kompally, Hyderabad",Under Construction,1901 , 1.14 0000000 ,"5,999 / sq ft"
4 BHK Villa in Krushi Madhava Nest,"Patancheru, Hyderabad",Ready to move,2316 , 1.63 0000000 ,"7,038 / sq ft"
2 BHK Apartment in IRA M3,"Kollur, Hyderabad",Under Construction,1105 , 55.23 00000 ,"4,999 / sq ft"
3 BHK Apartment in Merlion Galaxia,"Nizampet, Hyderabad",Under Construction,1551 , 86.81 00000 ,"5,600 / sq ft"
Residential Plot in Haripriya Dukes County Phase II,"Sheriguda, Hyderabad",New,3150 , 1.39 0000000 ,"4,444 / sq ft"
Residential Plot in G Square Olympia,"Shadnagar, Hyderabad",New,3600 , 69.8 00000 ,"1,939 / sq ft"
2 BHK Apartment in My Home Sayuk,"Tellapur, Hyderabad",Under Construction,1355 , 1.2 0000000 ,"8,856 / sq ft"
3 BHK Apartment in Hallmark Skyrena,"Narsingi, Hyderabad",Under Construction,1635 , 1.16 0000000 ,"7,099 / sq ft"
3 BHK Apartment in Shree GNR Vasavi Nirvana,"Attapur, Hyderabad",Under Construction,2005 , 1.38 0000000 ,"6,899 / sq ft"
4 BHK Villa in Vajra Nature City,"Bachupally, Hyderabad",Ready to move,2300 , 1.61 0000000 ,"7,000 / sq ft"
2 BHK Apartment in Vaishnavi Houdini,"Bandlaguda Jagir, Hyderabad",Under Construction,1476 , 82.65 00000 ,"5,600 / sq ft"
2 BHK Apartment in Sumadhura Gardens By The Brook,"Shamshabad, Hyderabad",Under Construction,1285 , 66.82 00000 ,"5,200 / sq ft"
3 BHK Apartment in Riddhi Pramukh Elegance,"Jeedimetla, Hyderabad",Under Construction,1840 , 1.06 0000000 ,"5,800 / sq ft"
Residential Plot in Vasavi Green Leaf,"Shamirpet, Hyderabad",New,3600 , 93.99 00000 ,"2,611 / sq ft"
3 BHK Apartment in Theme Imperial,"Attapur, Hyderabad",Under Construction,2090 , 1.42 0000000 ,"6,800 / sq ft"
3 BHK Apartment in Signature Altius,"Kollur, Hyderabad",Under Construction,1900 , 94.98 00000 ,"4,999 / sq ft"
3 BHK Apartment in Risinia Skyon,"Bachupally, Hyderabad",Under Construction,1935 , 1.08 0000000 ,"5,599 / sq ft"
2 BHK Apartment in Aavasa Constructions Emerald,"Saroor Nagar, Hyderabad",Under Construction,1310 , 85.15 00000 ,"6,500 / sq ft"
2 BHK Apartment in Srija Twin Towers,"Dammaiguda, Hyderabad",Under Construction,1042 , 50.01 00000 ,"4,800 / sq ft"
3 BHK Apartment in Cybercity Oriana,"Kukatpally, Hyderabad",Under Construction,2220 , 2.2 0000000 ,"9,909 / sq ft"
3 BHK Apartment in Om Sree Brilliance,"Sainikpuri, Hyderabad",Under Construction,2200 , 1.34 0000000 ,"6,100 / sq ft"
3 BHK Apartment in Primark De Stature,"Kompally, Hyderabad",Under Construction,2085 , 97.97 00000 ,"4,699 / sq ft"
3 BHK Apartment in Srinivasa Emerald Greens,"Kompally, Hyderabad",Under Construction,3810 , 2.09 0000000 ,"5,500 / sq ft"
3 BHK Apartment in GSR Avasa EVK,"Kollur, Hyderabad",Under Construction,2350 , 82.22 00000 ,"3,499 / sq ft"
Residential Plot in Makuta Panchavati,"Vikarabad, Hyderabad",New,2214 , 34.44 00000 ,"1,556 / sq ft"
3 BHK Apartment in Engineers Sri Tirumala Millennium Phase III,"Mallapur, Hyderabad",Under Construction,2187 , 1.09 0000000 ,"4,999 / sq ft"
2 BHK Apartment in Beams 4 Blocks,"Kompally, Hyderabad",Under Construction,1310 , 69.41 00000 ,"5,299 / sq ft"
3 BHK Apartment in Jain Carlton Creek,"Manikonda, Hyderabad",Ready to move,1380 , 1.06 0000000 ,"7,734 / sq ft"
4 BHK Villa in Radhey RADHEY RAAGA,"Patighanpur, Hyderabad",Under Construction,3756 , 3.68 0000000 ,"9,800 / sq ft"
3 BHK Apartment in Namishree BPS Twin Towers,"Saidabad, Hyderabad",Under Construction,1305 , 75.69 00000 ,"5,800 / sq ft"
5 BHK Villa in Nest Bliss In The Woods,"Harshaguda, Hyderabad",Under Construction,6000 , 5.82 0000000 ,"9,700 / sq ft"
3 BHK Apartment in Candeur Crescent,"Serilingampally, Hyderabad",Under Construction,2567 , 2.07 0000000 ,"8,063 / sq ft"
2 BHK Apartment in GHR Callisto,"Kollur, Hyderabad",Under Construction,1295 , 64.73 00000 ,"4,999 / sq ft"
2 BHK Apartment in Sunshine Vihaan,"Gandipet, Hyderabad",Under Construction,1228 , 77.33 00000 ,"6,302 / sq ft"
3 BHK Apartment in Vazhraa Vazhraa Prathik,"Nizampet, Hyderabad",Under Construction,1835 , 1.19 0000000 ,"6,500 / sq ft"
4 BHK Apartment in Hivision Heights,"Kompally, Hyderabad",Under Construction,2253 , 1.35 0000000 ,"5,999 / sq ft"
4 BHK Villa in Krushi Madhava Nest,"Patancheru, Hyderabad",Ready to move,2280 , 1.69 0000000 ,"7,415 / sq ft"
4 BHK Villa in IRA Elevate Villas,"Mamidipally, Hyderabad",Under Construction,6125 , 7.35 0000000 ,"12,000 / sq ft"
3 BHK Apartment in Merlion Galaxia,"Nizampet, Hyderabad",Under Construction,1854 , 1.03 0000000 ,"5,600 / sq ft"
Residential Plot in Haripriya Dukes County Phase II,"Sheriguda, Hyderabad",New,1800 , 79.99 00000 ,"4,444 / sq ft"
